EEG Data File
Created on: 2025-08-31 13:59:41
Sample Rate: 512Hz
Number of Samples: 1000

Sample Index,EEG Value (uV)
567,129.0
568,621.78
569,-682.152
570,565.5360000000001
571,-1023.744
572,423.636
573,-970.596
574,469.04400000000004
575,-365.32800000000003
576,-466.464
577,-924.1560000000001
578,-936.5400000000001
579,-778.128
580,1010.328
581,-567.6
582,426.732
583,-479.36400000000003
584,-56.244
585,-317.856
586,-29.928
587,-848.82
588,-530.964
589,-879.78
590,-397.32
591,666.672
592,-446.34000000000003
593,-1000.008
594,-345.204
595,51.084
596,-950.988
597,-858.1080000000001
598,-684.732
599,-1002.072
600,-969.048
601,107.84400000000001
602,-707.952
603,460.272
604,-869.976
605,-318.88800000000003
606,766.26
607,-535.092
608,74.304
609,-183.18
610,-7.74
611,95.976
612,51.6
613,834.3720000000001
614,859.6560000000001
615,-769.8720000000001
616,1017.0360000000001
617,394.74
618,-569.148
619,324.564
620,-349.848
621,1006.716
622,-833.34
623,-18.060000000000002
624,-796.7040000000001
625,191.436
626,822.504
627,603.72
628,915.9
629,-653.256
630,-582.048
631,-55.212
632,-731.688
633,-312.696
634,-346.236
635,-321.98400000000004
636,-887.004
637,768.3240000000001
638,379.776
639,-782.772
640,670.284
641,882.36
642,-959.76
643,-247.68
644,-721.884
645,-187.308
646,-911.772
647,-899.388
648,-1026.84
649,-494.32800000000003
650,476.26800000000003
651,293.604
652,-358.62
653,-411.252
654,331.272
655,284.31600000000003
656,-695.568
657,938.0880000000001
658,-380.29200000000003
659,-64.5
660,-1039.74
661,-1022.712
662,723.948
663,235.296
664,712.596
665,-361.2
666,-911.256
667,-442.728
668,-498.97200000000004
669,-290.508
670,304.44
671,500.52000000000004
672,174.924
673,-929.316
674,1017.0360000000001
675,597.528
676,-403.512
677,383.38800000000003
678,-946.86
679,-243.55200000000002
680,-844.176
681,77.4
682,-823.02
683,-174.924
684,692.988
685,221.364
686,543.864
687,-978.336
688,899.388
689,600.624
690,-150.156
691,147.576
692,-66.56400000000001
693,-951.504
694,769.356
695,489.684
696,-542.316
697,890.1
698,913.836
699,455.112
700,-62.952
701,-242.00400000000002
702,591.852
703,-429.82800000000003
704,985.5600000000001
705,-559.344
706,320.952
707,-727.044
708,-291.54
709,742.524
710,1038.708
711,921.0600000000001
712,206.4
713,-1014.972
714,722.916
715,962.856
716,270.384
717,-524.772
718,772.452
719,302.892
720,-713.628
721,-923.64
722,782.256
723,-734.784
724,164.088
725,58.308
726,-1030.968
727,959.244
728,-537.672
729,-278.124
730,-850.884
731,177.50400000000002
732,722.4
733,413.832
734,-952.02
735,-975.24
736,674.412
737,338.496
738,-626.424
739,-726.0120000000001
740,-1039.224
741,756.972
742,831.2760000000001
743,108.36
744,-273.48
745,456.66
746,-796.7040000000001
747,259.548
748,61.404
749,-537.1560000000001
750,409.188
751,723.432
752,517.032
753,269.868
754,371.004
755,-191.436
756,-657.9
757,169.248
758,-670.284
759,951.504
760,224.976
761,-276.576
762,-959.76
763,-780.192
764,665.124
765,693.504
766,-753.876
767,220.332
768,-23.22
769,172.344
770,-1017.0360000000001
771,-790.5120000000001
772,-388.03200000000004
773,-93.396
774,-221.364
775,-177.50400000000002
776,681.636
777,-514.452
778,-762.1320000000001
779,689.376
780,825.6
781,-360.168
782,-201.24
783,246.132
784,-902.484
785,-762.648
786,665.64
787,-847.788
788,169.764
789,744.588
790,655.836
791,916.932
792,500.004
793,-554.7
794,279.672
795,504.648
796,-66.56400000000001
797,-773.484
798,-699.696
799,802.8960000000001
800,354.492
801,-416.41200000000003
802,381.324
803,-987.1080000000001
804,-197.62800000000001
805,759.552
806,-364.296
807,862.236
808,810.636
809,379.26
810,-429.312
811,406.608
812,144.996
813,-463.368
814,186.276
815,-999.4920000000001
816,-251.292
817,-684.216
818,307.02
819,607.332
820,-377.196
821,-995.364
822,-514.452
823,-92.364
824,-660.996
825,162.54
826,521.16
827,248.196
828,-702.2760000000001
829,237.876
830,-168.216
831,722.916
832,-364.812
833,-327.144
834,-25.8
835,208.464
836,683.7
837,-1043.352
838,-922.6080000000001
839,17.544
840,-342.108
841,-645.0
842,353.46000000000004
843,-484.00800000000004
844,-873.072
845,-610.944
846,-912.288
847,822.504
848,205.368
849,704.34
850,-35.604
851,-635.712
852,577.404
853,-356.04
854,947.376
855,415.38
856,679.056
857,-506.196
858,878.232
859,657.384
860,-568.6320000000001
861,149.124
862,740.46
863,-685.248
864,13.416
865,-17.544
866,-593.916
867,213.108
868,586.692
869,844.176
870,270.90000000000003
871,13.932
872,-535.6080000000001
873,563.472
874,-597.528
875,-809.088
876,-594.948
877,121.77600000000001
878,-187.308
879,-198.66
880,-157.38
881,-93.396
882,1045.932
883,90.3
884,-802.38
885,-204.336
886,-736.332
887,-890.1
888,-986.076
889,-310.632
890,-281.736
891,895.26
892,954.6
893,-594.948
894,793.6080000000001
895,-920.028
896,208.98000000000002
897,-324.564
898,-832.8240000000001
899,-648.612
900,552.636
901,-658.416
902,816.312
903,510.84000000000003
904,426.216
905,455.628
906,-715.692
907,657.384
908,-604.236
909,212.076
910,906.6120000000001
911,-7.74
912,-443.244
913,-357.588
914,975.24
915,117.132
916,685.248
917,210.52800000000002
918,875.136
919,-240.45600000000002
920,634.6800000000001
921,74.82000000000001
922,-560.892
923,798.2520000000001
924,-674.412
925,-815.28
926,748.716
927,1020.648
928,-744.072
929,-956.148
930,779.16
931,-423.12
932,-302.892
933,855.0120000000001
934,602.688
935,-626.94
936,-1004.652
937,-770.388
938,-273.48
939,-685.248
940,242.52
941,-981.948
942,-142.93200000000002
943,796.7040000000001
944,-604.236
945,-511.872
946,706.404
947,-187.824
948,119.712
949,-926.736
950,291.54
951,-256.968
952,-439.632
953,-363.78000000000003
954,-521.16
955,986.592
956,282.76800000000003
957,-215.172
958,362.748
959,362.232
960,-44.376000000000005
961,446.856
962,632.616
963,-197.62800000000001
964,496.392
965,937.572
966,-69.144
967,212.076
968,866.364
969,-46.44
970,151.18800000000002
971,786.384
972,922.092
973,373.584
974,-1016.004
975,-968.532
976,558.312
977,279.156
978,-645.0
979,508.776
980,-399.384
981,-502.06800000000004
982,-203.82
983,-447.372
984,5.16
985,310.116
986,77.916
987,925.7040000000001
988,739.428
989,711.564
990,1028.904
991,-19.092
992,268.32
993,817.344
994,211.044
995,563.988
996,-625.392
997,491.748
998,-116.616
999,926.22
